"","Location","Balance in billions","Borrowers in thousands","State population","Twentyfour.and.younger","25 to34","35 to 49","50 to 61","62 and older","Balance.in.billionsSQ","Balance.in.billionsSQRT","Balance.in.billionslog","Percentage.of.Borrowers"
"1","Alabama",22.6,613.7,4903185,"1.74",7.07,9.31,3.55,0.96,510.76,4.75394572960189,3.11794990627824,12.5163541657107
"2","Alaska",2.2,66.5,731545,"0.11",0.74,0.93,0.36,0.11,4.84,1.48323969741913,0.78845736036427,9.09034987594748
"3","Arizona",30,856,7278717,"1.68",9.41,12.27,5.05,1.62,900,5.47722557505166,3.40119738166216,11.7603143521035
"4","Arkansas",12.5,377.5,3017804,"0.97",4.03,5.22,1.82,0.49,156.25,3.53553390593274,2.52572864430826,12.5090960181642
"5","California",140.1,3854.1,39512223,"8.96",50.09,50.87,22.28,7.89,19628.01,11.8363845831402,4.94235645334296,9.75419682157595
"6","Colorado",27.6,753.9,5758736,"1.67",9.51,10.81,4.27,1.33,761.76,5.25357021462548,3.3178157727231,13.0914145048497
"7","Connecticut",16.6,478.7,3565287,"1.95",5.68,4.77,3.18,1.05,275.56,4.07430975749267,2.8094026953625,13.4266890715951
"8","Delaware",4.5,120.9,973764,"0.39",1.41,1.58,0.86,0.24,20.25,2.12132034355964,1.50407739677627,12.4157393372521
"9","District of Columbia",6.4,116.4,705749,"0.27",2.95,2.28,0.64,0.26,40.96,2.5298221281347,1.85629799036563,16.4931158244645
"10","Florida",95.9,2513.1,21477737,"5.26",32.01,38.06,15.75,4.85,9196.81,9.79285453787607,4.56330598188939,11.7009534105013
"11","Georgia",65.7,1592.5,10617423,"4.26",19.85,27.09,11.48,3.04,4316.49,8.10555365166378,4.18509892549057,14.9989314732963
"12","Hawaii",4.3,120.1,1415872,"0.31",1.31,1.62,0.81,0.29,18.49,2.07364413533277,1.45861502269952,8.48240518916964
"13","Idaho",6.9,212.8,1787065,"0.44",2.09,3.07,1.02,0.31,47.61,2.62678510731274,1.93152141160321,11.9077929454161
"14","Illinois",60,1601.7,12671821,"5.36",21.04,20.13,10.24,3.18,3600,7.74596669241483,4.0943445622221,12.6398565762569
"15","Indiana",29.1,891.8,6732219,"2.41",9.35,11.25,4.82,1.29,846.81,5.39444158370447,3.37073817417745,13.2467467264508
"16","Iowa",13,427.9,3155070,"1.37",4.42,4.74,1.91,0.52,169,3.60555127546399,2.56494935746154,13.562298142355
"17","Kansas",12.2,377.1,2913314,"1.06",3.93,4.69,1.98,0.57,148.84,3.4928498393146,2.50143595173921,12.9440218253165
"18","Kentucky",19.1,585.5,4467673,"1.53",6.66,7.6,2.66,0.6,364.81,4.37035467668243,2.94968833505258,13.1052563605259
"19","Louisiana",21.5,629.3,4648794,"1.82",7.22,8.5,3.08,0.92,462.25,4.63680924774785,3.06805293513362,13.5368441793721
